STATE/UT,YEAR,Total No. Of Persons Arrested,New Offenders,Old Offenders Convicted In The Past - ONCE,Old Offenders Convicted In The Past - TWICE,Old Offenders Convicted In The Past - THRICE
Andhra Pradesh,2001,188419,161688,19481,4796,2454
Andhra Pradesh,2002,196661,180552,12951,2146,1012
Andhra Pradesh,2003,204553,184704,15003,3858,988
Andhra Pradesh,2004,214763,183483,23759,5651,1870
Andhra Pradesh,2005,216277,184994,23641,6155,1487
Andhra Pradesh,2006,227935,203350,17512,5610,1463
Andhra Pradesh,2007,236176,200281,28595,6304,996
Andhra Pradesh,2008,231386,210823,15754,4021,788
Andhra Pradesh,2009,234920,209278,21516,3463,663
Andhra Pradesh,2010,228605,209973,14579,3269,784
Andhra Pradesh,2011,238564,222757,11532,4015,260
Andhra Pradesh,2012,246395,211256,32257,2445,437
Arunachal Pradesh,2001,2965,2817,138,10,0
Arunachal Pradesh,2002,2613,2529,52,32,0
Arunachal Pradesh,2003,2446,2404,42,0,0
Arunachal Pradesh,2004,2788,2740,38,10,0
Arunachal Pradesh,2005,2488,2394,51,31,12
Arunachal Pradesh,2006,2849,2797,31,13,8
Arunachal Pradesh,2007,2478,2381,74,18,5
Arunachal Pradesh,2008,2621,2511,11,89,10
Arunachal Pradesh,2009,2817,2799,10,8,0
Arunachal Pradesh,2010,2825,2707,114,4,0
Arunachal Pradesh,2011,2312,2208,102,2,0
Arunachal Pradesh,2012,2483,2459,24,0,0
Assam,2001,53500,46466,4515,1780,739
Assam,2002,54588,50357,2069,1447,715
Assam,2003,63979,57379,4388,1540,672
Assam,2004,66762,61512,3208,1491,551
Assam,2005,68674,45685,12244,7205,3540
Assam,2006,58943,38011,10721,7426,2785
Assam,2007,59402,42000,12561,3390,1451
Assam,2008,56084,41307,6471,5400,2906
Assam,2009,71627,40526,18340,8991,3770
Assam,2010,69890,62013,4250,2569,1058
Assam,2011,67146,66084,821,196,45
Assam,2012,72795,70020,2179,456,140
Bihar,2001,202285,195055,6322,758,150
Bihar,2002,214448,205335,7735,1196,182
Bihar,2003,199132,192469,5713,850,100
Bihar,2004,220666,214077,5665,857,67
Bihar,2005,186140,177362,7914,826,38
Bihar,2006,180446,175325,4573,492,56
Bihar,2007,219895,215904,3585,370,36
Bihar,2008,232962,232014,897,42,9
Bihar,2009,205005,199879,3052,1157,917
Bihar,2010,196289,183653,10433,1128,1075
